Sending build context to Docker daemon  788.7MB
Step 1/14 : FROM fedora:latest
 ---> 536f3995adeb
Step 2/14 : WORKDIR /usr/src/app
 ---> Using cache
 ---> a2a86053c04e
Step 3/14 : RUN dnf -y install	R	wget	apt	perl        cpanminus    &&  rm -rf /var/lib/apt/lists/*
 ---> Using cache
 ---> 97c4bb33472d
Step 4/14 : RUN cpanm File::Spec::Link
 ---> Using cache
 ---> da111276356e
Step 5/14 : RUN INSTALL_PATH=/usr/src/app/anaconda     && wget http://repo.continuum.io/miniconda/Miniconda2-latest-Linux-x86_64.sh     && bash Miniconda2-latest* -fbp $INSTALL_PATH
 ---> Using cache
 ---> f4c38fbf0a05
Step 6/14 : ENV PATH=/root/anaconda/bin:$PATH
 ---> Using cache
 ---> 4fc6e2444523
Step 7/14 : ENV PATH=/usr/src/app/anaconda/bin:$PATH
 ---> Using cache
 ---> 4b72dd1d00e8
Step 8/14 : ENV LD_LIBRARY_PATH=$LD_LIBRARY_PATH:/usr/lib64
 ---> Using cache
 ---> aca090f8318c
Step 9/14 : ENV LD_LIBRARY_PATH=$LD_LIBRARY_PATH:/usr/src/app/code/Reapr_1.0.18_for_Evaldna/third_party/pezmaster31-bamtools/lib
 ---> Running in 3b5551fe4daa
Removing intermediate container 3b5551fe4daa
 ---> 7065bd3e0d74
Step 10/14 : RUN conda install -y --channel=r --channel=bioconda --channel=conda-forge        biopython==1.74         numpy==1.16.5         python==2.7.15         r-caret==6.0_83         r-randomforest==4.6_14         samtools==1.9     && conda clean -ya
 ---> Running in 1f2227202e12
Collecting package metadata (current_repodata.json): ...working... done
Solving environment: ...working... failed with initial frozen solve. Retrying with flexible solve.
Collecting package metadata (repodata.json): ...working... done
Solving environment: ...working... done
[91m

==> WARNING: A newer version of conda exists. <==
  current version: 4.7.12
  latest version: 4.8.3

Please update conda by running

    $ conda update -n base -c defaults conda


[0m
## Package Plan ##

  environment location: /usr/src/app/anaconda

  added / updated specs:
    - biopython==1.74
    - numpy==1.16.5
    - python==2.7.15
    - r-caret==6.0_83
    - r-randomforest==4.6_14
    - samtools==1.9


The following packages will be downloaded:

    package                    |            build
  gfortran_impl_lin~ conda-forge/linux-64::gfortran_impl_linux-64-7.3.0-hdf63c60_5
  gfortran_linux-64  conda-forge/linux-64::gfortran_linux-64-7.3.0-h553295d_18
  glib               conda-forge/linux-64::glib-2.56.2-had28632_1001
  graphite2          conda-forge/linux-64::graphite2-1.3.13-he1b5a44_1001
  gsl                conda-forge/linux-64::gsl-2.4-h294904e_1006
  gxx_impl_linux-64  pkgs/main/linux-64::gxx_impl_linux-64-7.3.0-hdf63c60_1
  gxx_linux-64       conda-forge/linux-64::gxx_linux-64-7.3.0-h553295d_18
  harfbuzz           conda-forge/linux-64::harfbuzz-1.9.0-he243708_1001
  htslib             bioconda/linux-64::htslib-1.9-h4da6232_3
  icu                conda-forge/linux-64::icu-58.2-hf484d3e_1000
  jpeg               conda-forge/linux-64::jpeg-9c-h14c3975_1001
  krb5               pkgs/main/linux-64::krb5-1.16.4-h173b8e3_0
  ld_impl_linux-64   conda-forge/linux-64::ld_impl_linux-64-2.34-h53a641e_0
  libblas            conda-forge/linux-64::libblas-3.8.0-14_openblas
  libcblas           conda-forge/linux-64::libcblas-3.8.0-14_openblas
  libcurl            conda-forge/linux-64::libcurl-7.68.0-hda55be3_0
  libdeflate         bioconda/linux-64::libdeflate-1.2-h516909a_1
  libgfortran-ng     conda-forge/linux-64::libgfortran-ng-7.3.0-hdf63c60_5
  libiconv           conda-forge/linux-64::libiconv-1.15-h516909a_1006
  liblapack          conda-forge/linux-64::liblapack-3.8.0-14_openblas
  libopenblas        conda-forge/linux-64::libopenblas-0.3.7-h5ec1e0e_6
  libpng             conda-forge/linux-64::libpng-1.6.37-hed695b0_1
  libssh2            conda-forge/linux-64::libssh2-1.8.2-h22169c7_2
  libtiff            conda-forge/linux-64::libtiff-4.1.0-hc7e4089_6
  libuuid            pkgs/main/linux-64::libuuid-1.0.3-h1bed415_2
  libwebp-base       conda-forge/linux-64::libwebp-base-1.1.0-h516909a_3
  libxcb             conda-forge/linux-64::libxcb-1.13-h14c3975_1002
  libxml2            conda-forge/linux-64::libxml2-2.9.9-h13577e0_2
  lz4-c              conda-forge/linux-64::lz4-c-1.9.2-he1b5a44_0
  make               conda-forge/linux-64::make-4.3-h516909a_0
  numpy              conda-forge/linux-64::numpy-1.16.5-py27h95a1406_0
  pango              pkgs/main/linux-64::pango-1.42.4-h049681c_0
  pcre               conda-forge/linux-64::pcre-8.44-he1b5a44_0
  pixman             conda-forge/linux-64::pixman-0.38.0-h516909a_1003
  pthread-stubs      conda-forge/linux-64::pthread-stubs-0.4-h14c3975_1001
  python_abi         conda-forge/linux-64::python_abi-2.7-1_cp27mu
  r-assertthat       r/noarch::r-assertthat-0.2.1-r36h6115d3f_0
  r-base             r/linux-64::r-base-3.6.1-h9bb98a2_1
  r-bh               r/noarch::r-bh-1.69.0_1-r36h6115d3f_0
  r-caret            r/linux-64::r-caret-6.0_83-r36h96ca727_0
  r-class            r/linux-64::r-class-7.3_15-r36h96ca727_0
  r-cli              r/noarch::r-cli-1.1.0-r36h6115d3f_0
  r-codetools        r/noarch::r-codetools-0.2_16-r36h6115d3f_0
  r-colorspace       r/linux-64::r-colorspace-1.4_1-r36h96ca727_0
  r-crayon           r/noarch::r-crayon-1.3.4-r36h6115d3f_0
  r-data.table       r/linux-64::r-data.table-1.12.2-r36h96ca727_0
  r-dichromat        r/noarch::r-dichromat-2.0_0-r36h6115d3f_4
  r-digest           r/linux-64::r-digest-0.6.18-r36h96ca727_0
  r-dplyr            r/linux-64::r-dplyr-0.8.0.1-r36h29659fb_0
  r-fansi            r/linux-64::r-fansi-0.4.0-r36h96ca727_0
  r-foreach          r/noarch::r-foreach-1.4.4-r36h6115d3f_0
  r-generics         r/noarch::r-generics-0.0.2-r36h6115d3f_0
  r-ggplot2          r/noarch::r-ggplot2-3.1.1-r36h6115d3f_0
  r-glue             r/linux-64::r-glue-1.3.1-r36h96ca727_0
  r-gower            r/linux-64::r-gower-0.2.0-r36h96ca727_0
  r-gtable           r/noarch::r-gtable-0.3.0-r36h6115d3f_0
  r-ipred            r/linux-64::r-ipred-0.9_8-r36h96ca727_0
  r-iterators        r/noarch::r-iterators-1.0.10-r36h6115d3f_0
  r-kernsmooth       r/linux-64::r-kernsmooth-2.23_15-r36ha65eedd_4
  r-labeling         r/noarch::r-labeling-0.3-r36h6115d3f_4
  r-lattice          r/linux-64::r-lattice-0.20_38-r36h96ca727_0
  r-lava             r/noarch::r-lava-1.6.5-r36h6115d3f_0
  r-lazyeval         r/linux-64::r-lazyeval-0.2.2-r36h96ca727_0
  r-lubridate        r/linux-64::r-lubridate-1.7.4-r36h29659fb_0
  r-magrittr         r/noarch::r-magrittr-1.5-r36h6115d3f_4
  r-mass             r/linux-64::r-mass-7.3_51.3-r36h96ca727_0
  r-matrix           r/linux-64::r-matrix-1.2_17-r36h96ca727_0
  r-mgcv             r/linux-64::r-mgcv-1.8_28-r36h96ca727_0
  r-modelmetrics     r/linux-64::r-modelmetrics-1.2.2-r36h29659fb_0
  r-munsell          r/noarch::r-munsell-0.5.0-r36h6115d3f_0
  r-nlme             r/linux-64::r-nlme-3.1_139-r36ha65eedd_0
  r-nnet             r/linux-64::r-nnet-7.3_12-r36h96ca727_0
  r-numderiv         r/noarch::r-numderiv-2016.8_1-r36h6115d3f_0
  r-pillar           r/noarch::r-pillar-1.3.1-r36h6115d3f_0
  r-pkgconfig        r/noarch::r-pkgconfig-2.0.2-r36h6115d3f_0
  r-plogr            r/noarch::r-plogr-0.2.0-r36h6115d3f_0
  r-plyr             r/linux-64::r-plyr-1.8.4-r36h29659fb_0
  r-prodlim          r/linux-64::r-prodlim-2018.04.18-r36h29659fb_0
  r-purrr            r/linux-64::r-purrr-0.3.2-r36h96ca727_0
  r-r6               r/noarch::r-r6-2.4.0-r36h6115d3f_0
  r-randomforest     r/linux-64::r-randomforest-4.6_14-r36ha65eedd_0
  r-rcolorbrewer     r/noarch::r-rcolorbrewer-1.1_2-r36h6115d3f_0
  r-rcpp             r/linux-64::r-rcpp-1.0.1-r36h29659fb_0
  r-rcpproll         r/linux-64::r-rcpproll-0.3.0-r36h29659fb_0
  r-recipes          r/noarch::r-recipes-0.1.5-r36h6115d3f_0
  r-reshape2         r/linux-64::r-reshape2-1.4.3-r36h29659fb_0
  r-rlang            r/linux-64::r-rlang-0.3.4-r36h96ca727_0
  r-rpart            r/linux-64::r-rpart-4.1_15-r36h96ca727_0
  r-scales           r/linux-64::r-scales-1.0.0-r36h29659fb_0
  r-squarem          r/noarch::r-squarem-2017.10_1-r36h6115d3f_0
  r-stringi          r/linux-64::r-stringi-1.4.3-r36h29659fb_0
  r-stringr          r/noarch::r-stringr-1.4.0-r36h6115d3f_0
  r-survival         r/linux-64::r-survival-2.44_1.1-r36h96ca727_0
  r-tibble           r/linux-64::r-tibble-2.1.1-r36h96ca727_0
  r-tidyr            r/linux-64::r-tidyr-0.8.3-r36h29659fb_0
  r-tidyselect       r/linux-64::r-tidyselect-0.2.5-r36h29659fb_0
  r-timedate         r/noarch::r-timedate-3043.102-r36h6115d3f_0
  r-utf8             r/linux-64::r-utf8-1.1.4-r36h96ca727_0
  r-viridislite      r/noarch::r-viridislite-0.3.0-r36h6115d3f_0
  r-withr            r/noarch::r-withr-2.1.2-r36h6115d3f_0
  samtools           bioconda/linux-64::samtools-1.9-h10a08f8_12
  tktable            pkgs/main/linux-64::tktable-2.10-h14c3975_0
  xorg-libxau        conda-forge/linux-64::xorg-libxau-1.0.9-h14c3975_0
  xorg-libxdmcp      conda-forge/linux-64::xorg-libxdmcp-1.1.3-h516909a_0
  xz                 conda-forge/linux-64::xz-5.2.5-h516909a_0
  zstd               conda-forge/linux-64::zstd-1.4.4-h6597ccf_3

The following packages will be UPDATED:

  ca-certificates    pkgs/main::ca-certificates-2019.10.16~ --> conda-forge::ca-certificates-2020.4.5.1-hecc5488_0
  certifi               pkgs/main::certifi-2019.9.11-py27_0 --> conda-forge::certifi-2019.11.28-py27h8c360ce_1
  conda                      pkgs/main::conda-4.7.12-py27_0 --> conda-forge::conda-4.8.3-py27h8c360ce_1
  openssl              pkgs/main::openssl-1.1.1d-h7b6447c_3 --> conda-forge::openssl-1.1.1g-h516909a_0

The following packages will be DOWNGRADED:

  python                                  2.7.17-h9bab390_0 --> 2.7.15-h9bab390_6



Downloading and Extracting Packages
icu-58.2             | 22.6 MB   |            |   0% icu-58.2             | 22.6 MB   |            |   1% icu-58.2             | 22.6 MB   | ####       |  40% icu-58.2             | 22.6 MB   | ########## | 100% 
r-mgcv-1.8_28        | 2.6 MB    |            |   0% r-mgcv-1.8_28        | 2.6 MB    | ###3       |  33% r-mgcv-1.8_28        | 2.6 MB    | ########## | 100% 
r-kernsmooth-2.23_15 | 102 KB    |            |   0% r-kernsmooth-2.23_15 | 102 KB    | ########## | 100% 
r-reshape2-1.4.3     | 129 KB    |            |   0% r-reshape2-1.4.3     | 129 KB    | ########## | 100% 
graphite2-1.3.13     | 102 KB    |            |   0% graphite2-1.3.13     | 102 KB    | ########## | 100% 
libwebp-base-1.1.0   | 845 KB    |            |   0% libwebp-base-1.1.0   | 845 KB    | ########## | 100% 
libcurl-7.68.0       | 564 KB    |            |   0% libcurl-7.68.0       | 564 KB    | ########## | 100% 
r-ipred-0.9_8        | 393 KB    |            |   0% r-ipred-0.9_8        | 393 KB    | ########## | 100% 
xz-5.2.5             | 430 KB    |            |   0% xz-5.2.5             | 430 KB    | ########## | 100% 
pixman-0.38.0        | 594 KB    |            |   0% pixman-0.38.0        | 594 KB    | ########## | 100% 
r-modelmetrics-1.2.2 | 160 KB    |            |   0% r-modelmetrics-1.2.2 | 160 KB    | ########## | 100% 
samtools-1.9         | 299 KB    |            |   0% samtools-1.9         | 299 KB    | ########## | 100% 
fontconfig-2.13.0    | 227 KB    |            |   0% fontconfig-2.13.0    | 227 KB    | ########## | 100% 
make-4.3             | 505 KB    |            |   0% make-4.3             | 505 KB    | ########## | 100% 
r-stringr-1.4.0      | 221 KB    |            |   0% r-stringr-1.4.0      | 221 KB    | ########## | 100% 
libpng-1.6.37        | 308 KB    |            |   0% libpng-1.6.37        | 308 KB    | ########## | 100% 
r-withr-2.1.2        | 181 KB    |            |   0% r-withr-2.1.2        | 181 KB    | ########## | 100% 
python_abi-2.7       | 4 KB      |            |   0% python_abi-2.7       | 4 KB      | ########## | 100% 
r-generics-0.0.2     | 82 KB     |            |   0% r-generics-0.0.2     | 82 KB     | ########## | 100% 
gfortran_impl_linux- | 9.4 MB    |            |   0% gfortran_impl_linux- | 9.4 MB    | ########8  |  88% gfortran_impl_linux- | 9.4 MB    | ########## | 100% 
r-nlme-3.1_139       | 2.2 MB    |            |   0% r-nlme-3.1_139       | 2.2 MB    | ########## | 100% 
r-fansi-0.4.0        | 193 KB    |            |   0% r-fansi-0.4.0        | 193 KB    | ########## | 100% 
r-survival-2.44_1.1  | 4.8 MB    |            |   0% r-survival-2.44_1.1  | 4.8 MB    | ########## | 100% 
libcblas-3.8.0       | 10 KB     |            |   0% libcblas-3.8.0       | 10 KB     | ########## | 100% 
libiconv-1.15        | 2.0 MB    |            |   0% libiconv-1.15        | 2.0 MB    | ########## | 100% 
certifi-2019.11.28   | 149 KB    |            |   0% certifi-2019.11.28   | 149 KB    | ########## | 100% 
_r-mutex-1.0.1       | 3 KB      |            |   0% _r-mutex-1.0.1       | 3 KB      | ########## | 100% 
r-gower-0.2.0        | 173 KB    |            |   0% r-gower-0.2.0        | 173 KB    | 9          |   9% r-gower-0.2.0        | 173 KB    | ########## | 100% 
r-assertthat-0.2.1   | 74 KB     |            |   0% r-assertthat-0.2.1   | 74 KB     | ########## | 100% 
r-prodlim-2018.04.18 | 408 KB    |            |   0% r-prodlim-2018.04.18 | 408 KB    | 3          |   4% r-prodlim-2018.04.18 | 408 KB    | ########## | 100% 
r-base-3.6.1         | 39.7 MB   |            |   0% r-base-3.6.1         | 39.7 MB   | #          |  11% r-base-3.6.1         | 39.7 MB   | ##6        |  26% r-base-3.6.1         | 39.7 MB   | ####3      |  44% r-base-3.6.1         | 39.7 MB   | #####8     |  58% r-base-3.6.1         | 39.7 MB   | #######9   |  80% r-base-3.6.1         | 39.7 MB   | #########7 |  97% r-base-3.6.1         | 39.7 MB   | ########## | 100% 
r-cli-1.1.0          | 189 KB    |            |   0% r-cli-1.1.0          | 189 KB    | ########## | 100% 
r-utf8-1.1.4         | 159 KB    |            |   0% r-utf8-1.1.4         | 159 KB    | ########## | 100% 
r-plogr-0.2.0        | 20 KB     |            |   0% r-plogr-0.2.0        | 20 KB     | ########## | 100% 
python-2.7.15        | 9.7 MB    |            |   0% python-2.7.15        | 9.7 MB    | ###3       |  34% python-2.7.15        | 9.7 MB    | ########## | 100% 
lz4-c-1.9.2          | 223 KB    |            |   0% lz4-c-1.9.2          | 223 KB    | ########## | 100% 
zstd-1.4.4           | 991 KB    |            |   0% zstd-1.4.4           | 991 KB    | ########## | 100% 
glib-2.56.2          | 4.7 MB    |            |   0% glib-2.56.2          | 4.7 MB    | ########## | 100% 
r-rcpp-1.0.1         | 3.3 MB    |            |   0% r-rcpp-1.0.1         | 3.3 MB    | ########## | 100% 
r-purrr-0.3.2        | 397 KB    |            |   0% r-purrr-0.3.2        | 397 KB    | ########## | 100% 
binutils_linux-64-2. | 21 KB     |            |   0% binutils_linux-64-2. | 21 KB     | ########## | 100% 
r-matrix-1.2_17      | 3.8 MB    |            |   0% r-matrix-1.2_17      | 3.8 MB    | ########## | 100% 
openssl-1.1.1g       | 2.1 MB    |            |   0% openssl-1.1.1g       | 2.1 MB    | ########## | 100% 
cairo-1.14.12        | 906 KB    |            |   0% cairo-1.14.12        | 906 KB    | ########## | 100% 
fribidi-1.0.9        | 113 KB    |            |   0% fribidi-1.0.9        | 113 KB    | ########## | 100% 
conda-4.8.3          | 3.0 MB    |            |   0% conda-4.8.3          | 3.0 MB    | ########## | 100% 
